License_Number,Hospital_Name,Year,City,FICA,State_Unemployment_Compensation,Worker_s_Compensation,Group_Health_Insurance,Group_Life_Insurance,Pension___Retirement,Other_Employee_Benefits,Total_Employee_Benefits,Building_Rent_Lease,Equipment_Rent_Lease,Total_Rent_Lease,Fixed_Assets_Depreciation_Expense_Beginning_Balance_Land,Fixed_Assets_Additions_Land,Fixed_Assets_Retirememts_Land,Fixed_Assets_Ending_Balance_Land,Fixed_Assets_Beginning_Balance_Land_Improvements,Fixed_Assets_Additions_Land_Improvements,Fixed_Assets_Retirememts_Land_Improvements,Fixed_Assets_Ending_Balance_Land_Improvements,Fixed_Assets_Beginning_Balance_Buildings,Fixed_Assets_Additions_Buildings,Fixed_Assets_Retirememts_Buildings,Fixed_Assets_Ending_Balance_Buildings,Fixed_Assets_Beginning_Balance_Fixed_Equip_Building_Service,Fixed_Assets_Additions_Fixed_Equipment_Building_Service,Fixed_Assets_Retirememts_Fixed_Equipment_Building_Service,Fixed_Assets_Ending_Balance_Fixed_Equip_Building_Services,Fixed_Assets_Beginning_Balance_Fixed_Equipment_Other,Fixed_Assets_Additions_Fixed_Equipment_Other,Fixed_Assets_Retirememts_Fixed_Equipment_Other,Fixed_Assets_Ending_Balance_Fixed_Equipment_Other,Fixed_Assets_Beginning_Balance_Equipment_Major_Moveable,Fixed_Assets_Additions_Equipment_Major_Moveable,Fixed_Assets_Retirememts_Equipment_Major_Moveable,Fixed_Assets_Ending_Balance_Equipment_Major_Moveable,Fixed_Assets_Beginning_Balance_Equipment_Minor_Moveable,Fixed_Assets_Additions_Equipment_Minor_Moveable,Fixed_Assets_Retirememts_Equipment_Minor_Moveable,Fixed_Assets_Ending_Balance_Equipment_Minor_Moveable,Fixed_Assets_Beginning_Balance_Leasehold_Improvements,Fixed_Assets_Additions_Leasehold_Improvements,Fixed_Assets_Retirememts_Leasehold_Improvements,Fixed_Assets_Ending_Balance_Leasehold_Improvements,Fixed_Assets_Beginning_Balance_Construction_in_Progress,Fixed_Assets_Additions_Construction_in_Progress,Fixed_Assets_Retirememts_Construction_in_Progress,Fixed_Assets_Ending_Balance_Construction_in_Progress,Fixed_Assets_Total_Beginning_Balance,Fixed_Assets_Total_Additions,Fixed_Assets_Total_Retirememts,Fixed_Assets_Total_Ending_Balance,Accumulated_Depreciation_Beginning_Balance_Land,Accumulated_Depreciation_Provision_Land,Accumulated_Depreciation_Retirements_Land,Accumulated_Depreciation_Ending_Balance_Land,Accumulated_Depreciation_Beginning_Balance_Land_Improvements,Accumulated_Depreciation_Provision_Land_Improvements,Accumulated_Depreciation_Retirements_Land_Improvements,Accumulated_Depreciation_Ending_Balance_Land_Improvements,Accumulated_Depreciation_Beginning_Balance_Buildings,Accumulated_Depreciation_Provision_Buildings,Accumulated_Depreciation_Retirements_Buildings,Accumulated_Depreciation_Ending_Balance_Buildings,Accumulated_Depreciation_Beginning_Balance_Fixed_Equip_Building_Services,Accumulated_Depreciation_Provision_Fixed_Equip_Building_Services,Accumulated_Depreciation_Retirements_Fixed_Equip_Building_Services,Accumulated_Depreciation_Ending_Balance_Fixed_Equipment_Building_Services,Accumulated_Depreciation_Beginning_Balance_Fixed_Equip_Other,Accumulated_Depreciation_Provision_Fixed_Equip_Other,Accumulated_Depreciation_Retirements_Fixed_Equip_Other,Accumulated_Depreciation_Ending_Balance_Fixed_Equipment_Other,Accumulated_Depreciation_Beginning_Balance_Equipment_Major_Moveable,Accumulated_Depreciation_Provision_Equipment_Major_Moveable,Accumulated_Depreciation_Retirements_Equipment_Major_Moveable,Accumulated_Depreciation_Ending_Balance_Equipment_Major_Moveable,Accumulated_Depreciation_Beginning_Balance_Equipment_Minor_Moveable,Accumulated_Depreciation_Provision_Equipment_Minor_Moveable,Accumulated_Depreciation_Retirements_Equipment_Minor_Moveable,Accumulated_Depreciation_Ending_Balance_Equipment_Minor_Moveable,Accumulated_Depreciation_Beginning_Balance_Leasehold_Improvements,Accumulated_Depreciation_Provision_Leasehold_Improvements,Accumulated_Depreciation_Retirements_Leasehold_Improvements,Accumulated_Depreciation_Ending_Balance_Leasehold_Improvements,Accumulated_Depreciation_Beginning_Balance_Construction_in_Progress,Accumulated_Depreciation_Provision_Construction_in_Progress,Accumulated_Depreciation_Retirements_Construction_in_Progress,Accumulated_Depreciation_Ending_Balance_Construction_in_Progress,Accumulated_Depreciation_Total_Beginning_Balance,Accumulated_Depreciation_Total_Provision,Accumulated_Depreciation_Total_Retirements,Total_Ending_Balance,Total_Insurance_Malpractice,Total_Insurance_Other,Total_Insurance,License_Fees,Taxes_Other_than_Income,Other_Licenses___Taxes,Total_Licenses___Taxes,Total_Interest_Working_Cap,Total_Interest_Other,Total_Interest_Expense,Provision_for_Bad_Debt,Medicare_Contractuals_,Medicaid_Contractuals,Workers_Comp_,Other_Government_Programs,Negotiated_Rate_,Other_Contractuals,Total_Contractual_Adjustments,Number_of_Charity_Care_Patients_,Total_Charity_Care,Other_Deductions,Total_Deductions_from_Revenue
29,Harborview Medical Center,2017,Seattle,26104319,300220,3158992,54561318,0,33127403,2166962,119419214,11830390,2778281,14608671,2432095,0,0,2432095,5595137,342419,32569,5970125,419700873,4202469,2034266,425937608,143814352,70971,3339041,147224364,0,0,0,0,294453702,11405591,84833337,390692630,0,0,0,0,10501155,49884,67924,10618963,12584493,6682505,0,19266998,889081807,22753839,90307137,1002142783,0,0,0,0,2939621,455133,32569,3427323,201978363,13754203,2034267,217766833,129463707,4084180,3335546,136883433,0,0,0,0,249783059,13496229,84486736,347766024,0,0,0,0,4759653,592249,65925,5417827,0,0,0,0,588924403,588924403,588924403,1766773209,3695824,827310,4523134,497134,6132283,1441285,8070702,28450,0,28450,18782096,501141973,585726211,0,0,0,301778457,1388646641,6403,79328399,-51648230,1435108906
32,St.Joseph Medical Center,2017,Tacoma,15445179,685001,3262360,28584278,234391,10890309,1706551,60808069,5903443,4057660,9961103,7877315,87343,87343,8052001,4480025,28946,96781,4605752,166197030,2331317,-1932864,166595483,0,0,0,0,73249297,118330,690208,74057835,219966208,18238185,7703720,245908113,0,0,0,0,28198881,5527872,7678444,41405197,17884008,10458050,16999468,45341526,517852764,36790043,31323100,585965907,0,0,0,0,3021675,173420,23552,3218647,73212114,4704317,-59273,77857158,3770133,0,0,3770133,60908469,1230654,508144,62647267,164628934,13203399,6251635,184083968,0,0,0,0,10022023,1960941,2659909,14642873,0,0,0,0,315563348,315563348,315563348,946690044,4547637,775162,5322799,129995,25517729,0,25647724,0,1298187,1298187,8609436,1041278097,518116065,0,102275657,399480205,20658796,2081808820,8765,29579984,14905783,2134904023
35,St. Elizabeth Hospital,2017,Enumclaw,1166053,3852,264279,1887617,14602,782573,114031,4233007,20429,268255,288684,3268423,0,0,3268423,577014,0,0,577014,56720086,17786,0,56737872,14754,0,0,14754,1813323,0,0,1813323,27483065,1335020,19712,28837797,0,0,0,0,0,0,0,0,239375,529870,96348,865593,90116040,1882676,116060,92114776,0,0,0,0,324455,57411,0,381866,8838773,1472467,0,10311240,1783901,96184,0,1880085,878262,0,0,878262,21797492,1622665,11186,23431343,0,0,0,0,0,0,0,0,0,0,0,0,33622883,33622883,33622883,100868649,226886,60114,287000,14849,470121,0,484970,689200,0,689200,907325,50648123,27186833,0,4525858,41472868,1914226,125747908,998,1204773,0,127860006
37,Deaconess Hospital - MultiCare Health Systems,2017,Spokane,6924990,422868,1422508,15959664,31957,1946929,125889,26834805,2634900,2689982,5324882,15239201,3990433,0,19229634,1054574,0,338255,1392829,98031588,27165944,0,125197532,34556398,37318,33388418,67982134,11782462,72150,11854612,23709224,59478724,300028,18363346,78142098,15458434,275556,15733990,31467980,425606,0,114556,540162,238922,1600,178528,419050,236265909,31843029,79971705,348080643,0,0,0,0,717396,108313,766184,1591893,26525799,4954843,28277863,59758505,8682007,1060583,9687649,19430239,5405429,626247,6031676,12063352,41366117,7860855,44398766,93625738,6319723,1380065,7699788,15399576,195221,20774,196461,412456,0,0,0,0,89211692,89211692,89211692,267635076,2815335,0,2815335,191554,17838987,0,18030541,0,14690039,14690039,6030674,431089141,263816570,13432128,42424547,426901495,9204885,1186868766,0,2838831,0,1195738271
38,Olympic Medical Center,2017,Port Angeles 98,6147355,83606,1200324,14684400,47152,3984066,201752,26348655,284334,46237,330571,9720919,109211,0,9830130,4132161,4952221,0,9084382,93094705,15035242,977075,109107022,24008029,9348888,0,33356917,0,0,0,0,70865466,5419298,5215753,81500517,3678028,-1376,1009941,4686593,277505,85231,0,362736,27864885,-25490903,0,2373982,233641698,9457812,7202769,250302279,0,0,0,0,2426966,388979,0,2815945,45484098,3312134,434526,49230758,16976511,1095883,0,18072394,0,0,0,0,46958427,4954308,5153400,57066135,2895106,304961,999466,4199533,0,0,0,0,0,0,0,0,114741108,114741108,114741108,344223324,691810,7139,698949,81294,1196837,0,1278131,0,940156,940156,2313127,122722299,39749900,1839467,11390030,9491057,6250,185199003,0,2655122,541117,190708369
39,Trios Health,2017,Kennewick,5685570,144046,92356,8828100,323641,3941041,1076609,20091363,592042,2102264,2694306,1580987,0,0,1580987,2501845,0,0,2501845,208988170,89822,0,209077992,0,0,0,0,0,0,0,0,80635210,349416,1379325,82363951,0,0,0,0,18910528,277102,1791433,20979063,992745,171151,459442,1623338,313609485,887491,3630200,318127176,0,0,0,0,2455360,17733,0,2473093,54996084,6537416,0,61533500,0,0,0,0,0,0,0,0,60421536,5165950,2964218,68551704,0,0,0,0,3473204,1044435,206540,4724179,0,0,0,0,121346184,121346184,121346184,364038552,1453124,319267,1772391,118707,2385307,0,2504014,0,17611921,17611921,7742659,140235029,99357790,9831098,2312449,77896349,0,329632715,1441,2181352,1472669,341029395
42,Shriners Hospitals for Children - Spokane,2017,Spokane,850653,-8563,170686,1319568,40344,800799,62762,3236249,0,89668,89668,2862934,0,0,2862934,206831,0,0,206831,20250362,0,0,20250362,1842567,0,0,1842567,0,0,0,0,7076028,0,0,7076028,0,0,0,0,0,0,0,0,50895,0,0,50895,32289617,0,0,32289617,0,0,0,0,153975,0,0,153975,12980014,0,0,12980014,1756562,0,0,1756562,0,0,0,0,4727471,0,0,4727471,0,0,0,0,0,0,0,0,0,0,0,0,19618022,19618022,19618022,58854066,0,0,0,42157,70547,0,112704,0,0,0,0,252,13123219,0,569607,8783951,0,22477029,494,2532969,1457263,26467261
45,Columbia Basin Hospital,2017,Ephrata,539232,764,8180,850646,6975,297958,88656,1792411,1412,199923,201335,99457,0,0,99457,186843,0,0,186843,22435861,6708,0,22442569,1281894,0,0,1281894,0,0,0,0,2805974,151066,13607,2970647,510819,0,40184,551003,0,0,0,0,12558,4103239,0,4115797,27333406,4261013,53791,31648210,0,0,0,0,90368,11273,0,101641,7149614,924107,0,8073721,699232,96639,0,795871,0,0,0,0,2157276,220699,23429,2401404,345681,84742,0,430423,0,0,0,0,0,0,0,0,10442171,10442171,10442171,31326513,132562,42013,174575,0,28089,0,28089,0,740771,740771,620441,974590,2561206,122738,0,0,1833007,5491541,0,40791,29286,6182059
50,PROVIDENCE ST MARY MEDICAL CENTER,2017,Walla Walla,4143098,44420,-65896,0,0,1045749,188447,5355818,-209368,951399,742031,2399380,126184,0,2525564,1872825,0,0,1872825,73107628,813091,0,73920719,0,0,0,0,5313782,0,0,5313782,60033543,663162,0,60696705,128239,0,0,128239,33270,0,0,33270,561525,1327633,0,1889158,143450192,2930070,0,146380262,0,0,0,0,1574505,60678,0,1635183,45888612,2802251,1493,48692356,0,0,0,0,2374430,257257,0,2631687,48123131,2510295,0,50633426,128239,0,0,128239,24490,5545,0,30035,0,0,0,0,98113407,98113407,98113407,294340221,0,34304,34304,58855,3725623,0,3784478,0,854358,854358,-160331,198360548,61806159,3824909,11918648,49437466,6176427,331524157,844,7350364,0,338714190
54,Forks Community Hospital,2017,Forks,193193,67775,277783,2601049,16478,1058993,590653,4805924,0,62499,62499,303084,0,0,303084,935266,0,0,935266,14905835,259518,0,15165353,0,0,0,0,13349638,532446,0,13882084,0,0,0,0,0,0,0,0,0,0,0,0,5130,0,5130,10260,29498953,791964,5130,30296047,0,0,0,0,703625,40934,0,744559,10729239,468265,0,11197504,0,0,0,0,11741689,796837,0,12538526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23174553,23174553,23174553,69523659,288431,0,288431,36605,234496,0,271101,11113,331214,342327,626330,7704283,5482126,662899,0,2976379,0,16825687,228,442399,482327,18376743
56,Willapa Harbor Hospital,2017,South Bend,759277,14747,35745,1709650,54,674100,197480,3391053,20020,89049,109069,34261,0,0,34261,200810,0,0,200810,7127073,0,0,7127073,569761,0,0,569761,0,0,0,0,4267497,244461,0,4511958,0,0,0,0,0,0,0,0,0,3635,0,3635,12199402,248096,0,12447498,0,0,0,0,179321,15459,0,194780,5005224,295432,0,5300656,449647,14829,0,464476,0,0,0,0,3351124,350745,0,3701869,0,0,0,0,0,0,0,0,0,0,0,0,8985316,8985316,8985316,26955948,60392,31766,92158,21626,141874,0,163500,75704,0,75704,529517,4778204,3661382,562,0,2056146,0,10496294,249,381802,295151,11702764
58,YAKIMA VALLEY MEMORIAL,2017,YAKIMA,13131901,-175908,889817,8832872,994504,10043926,7081380,40798492,5219254,1212526,6431780,8302757,2804664,0,11107421,1689323,-3341252,0,-1651929,69479636,2541210,34211,72055057,62334625,2214311,82140,64631076,0,0,0,0,50382040,13084301,200188,63666529,0,0,0,0,6360635,4410928,56110,10827673,13894916,13892941,0,27787857,212443932,35607103,372649,248423684,0,0,0,0,363844,373932,0,737776,3359195,3317665,0,6676860,3896287,4200789,6911,8103987,0,0,0,0,7742396,14351078,153531,22247005,0,0,0,0,595542,597432,19527,1212501,0,0,0,0,15957264,15957264,15957264,47871792,3044444,943744,3988188,704465,14136746,0,14841211,0,1745759,1745759,-391151,348359603,202590320,10788195,0,107343799,0,669081917,6961,14877314,48405184,731973264
63,Grays Harbor Community Hospital,2017,Aberdeen,2819772,45454,664904,9028528,17121,1512073,760257,14848109,0,1360153,1360153,1702265,0,0,1702265,612325,0,0,612325,69020364,132298,0,69152662,3903712,142946,33046,4079704,0,0,0,0,33888707,657514,42779,34589000,0,0,0,0,0,0,0,0,381013,100896,179621,661530,109508386,1033654,255446,110797486,0,0,0,0,527663,13042,0,540705,36834879,1959651,0,38794530,3244665,114776,0,3359441,0,0,0,0,28371663,2034258,0,30405921,0,0,0,0,0,0,0,0,0,-140164,-140164,-280328,68978870,68978870,68978870,206936610,631820,191094,822914,286983,1298278,0,1585261,0,1777614,1777614,6852713,146718590,85297352,3438715,-292548,43358280,2213953,280734342,265,854433,9470471,297911959
78,Samaritan Hospital,2017,Moses Lake,2416654,120912,404099,4341569,62875,2084685,63363,9494157,77807,907953,985760,932777,0,0,932777,542357,13488,0,555845,48310994,1586102,0,49897096,3821672,90184,0,3911856,0,0,0,0,28040159,1285093,473675,29798927,0,0,0,0,0,0,0,0,818109,1047354,0,1865463,82466068,4022221,473675,86961964,0,0,0,0,200236,23746,0,223982,31942498,909165,0,32851663,1000995,157710,0,1158705,0,0,0,0,19655220,1115689,462495,21233404,0,0,0,0,0,0,0,0,0,0,0,0,52798949,52798949,52798949,158396847,534486,140119,674605,0,0,0,0,0,423314,423314,2881680,46713026,6999117,3074935,595102,0,252339,57634519,0,2636350,76546473,139699022
